Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"49,971","57,538","68,035","79,763","86,020","75,611","70,332","88,296","117,523","140,933","151,900","183,266"
Expenses+,"43,209","48,518","57,620","67,647","74,968","68,266","64,928","82,549","106,504","124,483","134,074","161,816"
Operating Profit,"6,761","9,020","10,415","12,116","11,052","7,345","5,404","5,747","11,019","16,449","17,826","21,450"
OPM %,14%,16%,15%,15%,13%,10%,8%,7%,9%,12%,12%,12%
Other Income+,783,"1,326","2,237","1,991","2,508","3,378","2,887","1,748","2,150","3,807","4,710","4,392"
Interest,206,82,89,346,76,133,101,126,187,193,193,239
Depreciation,"2,470","2,820","2,602","2,758","3,019","3,526","3,032","2,786","2,823","3,022","3,159","6,740"
Profit before tax,"4,868","7,444","9,960","11,003","10,466","7,065","5,159","4,582","10,159","17,040","19,183","18,863"
Tax %,24%,28%,26%,30%,28%,20%,18%,18%,21%,22%,27%,23%
Net Profit+,"3,711","5,364","7,350","7,722","7,501","5,651","4,230","3,766","8,049","13,209","13,955","14,445"
EPS in Rs,122.85,177.58,243.32,255.62,248.30,187.06,140.02,124.68,266.46,420.14,443.86,459.46
Dividend Payout %,20%,20%,31%,31%,32%,32%,32%,48%,34%,30%,30%,30%
