Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"7,176","7,732","8,414","9,304","10,482","10,987","12,379","13,372","15,618","16,186","17,296","18,446"
Expenses+,"6,398","6,608","7,209","7,894","8,820","9,216","10,028","11,282","12,877","13,115","14,232","15,055"
Operating Profit,778,"1,124","1,206","1,410","1,662","1,771","2,351","2,089","2,742","3,071","3,064","3,391"
OPM %,11%,15%,14%,15%,16%,16%,19%,16%,18%,19%,18%,18%
Other Income+,224,115,143,156,191,354,293,359,448,207,226,318
Interest,1,1,1,1,2,65,98,133,155,151,137,111
Depreciation,117,88,96,120,135,152,167,170,195,271,285,305
Profit before tax,883,"1,149","1,251","1,445","1,716","1,908","2,379","2,145","2,840","2,855","2,868","3,293"
Tax %,29%,34%,33%,34%,35%,22%,26%,25%,25%,27%,26%,22%
Net Profit+,622,763,844,948,"1,122","1,484","1,760","1,603","2,139","2,082","2,131","2,562"
EPS in Rs,25.94,31.80,35.15,39.48,46.70,61.73,73.07,66.56,88.82,86.44,88.46,106.35
Dividend Payout %,31%,31%,31%,32%,32%,57%,216%,85%,81%,85%,85%,85%
