Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,222,235,259,260,298,370,345,330,449,595,"1,012","2,154"
Expenses+,135,160,180,186,206,225,204,201,329,566,492,832
Operating Profit,88,75,80,74,93,145,141,128,120,29,520,"1,322"
OPM %,39%,32%,31%,29%,31%,39%,41%,39%,27%,5%,51%,61%
Other Income+,110,111,116,86,63,111,111,53,72,76,96,128
Interest,1,0,0,0,0,0,0,0,0,0,0,0
Depreciation,26,25,19,17,15,18,22,22,20,34,62,75
Profit before tax,170,161,177,144,140,239,229,159,171,71,554,"1,374"
Tax %,26%,29%,29%,26%,2%,13%,18%,25%,24%,26%,25%,25%
Net Profit+,125,114,126,106,136,209,188,118,130,52,415,"1,029"
EPS in Rs,4.90,4.46,4.95,4.17,5.35,8.18,7.37,4.65,5.09,2.04,16.27,40.36
Dividend Payout %,41%,29%,61%,82%,75%,73%,75%,75%,75%,75%,37%,20%
