Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,171","5,359","6,110","8,139","10,068","9,429","10,428","13,889","16,868","18,550","21,746","22,466"
Expenses+,"4,445","4,574","5,284","7,087","8,840","8,364","8,845","12,116","15,244","16,666","19,554","20,211"
Operating Profit,726,786,826,"1,051","1,227","1,066","1,583","1,772","1,624","1,884","2,192","2,254"
OPM %,14%,15%,14%,13%,12%,11%,15%,13%,10%,10%,10%,10%
Other Income+,51,270,75,127,123,105,188,159,177,249,287,479
Interest,43,42,12,24,55,51,90,67,55,84,72,78
Depreciation,88,105,120,140,149,218,249,261,296,338,399,429
Profit before tax,646,909,769,"1,015","1,146",902,"1,432","1,604","1,450","1,710","2,009","2,226"
Tax %,28%,22%,30%,30%,31%,19%,27%,26%,26%,26%,26%,23%
Net Profit+,465,712,539,713,787,733,"1,040","1,195","1,075","1,273","1,489","1,705"
EPS in Rs,7.45,11.40,8.63,11.40,12.59,11.71,16.61,19.08,17.16,20.32,23.75,27.19
Dividend Payout %,40%,53%,41%,35%,36%,34%,39%,39%,44%,44%,42%,37%
