Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,551","2,858","2,016","3,066","4,366","3,547","4,106","4,286","4,396","4,075","3,795","4,528"
Expenses+,"2,257","2,539","1,835","2,802","4,026","3,120","3,637","3,759","3,929","3,589","3,380","3,925"
Operating Profit,294,320,181,264,340,427,469,528,466,486,415,603
OPM %,12%,11%,9%,9%,8%,12%,11%,12%,11%,12%,11%,13%
Other Income+,-28,-86,19,17,46,21,29,44,49,100,61,67
Interest,43,58,60,61,78,90,148,133,117,115,149,210
Depreciation,34,25,16,16,18,30,54,57,57,58,85,138
Profit before tax,190,150,124,204,291,328,296,382,342,412,241,322
Tax %,0%,0%,0%,24%,37%,38%,25%,26%,25%,25%,19%,22%
Net Profit+,190,150,124,155,184,204,223,283,255,310,195,253
EPS in Rs,1.53,1.21,1.00,1.25,1.44,1.59,1.74,2.05,1.85,2.15,1.35,1.65
Dividend Payout %,0%,0%,0%,5%,7%,0%,9%,9%,11%,9%,7%,12%
