Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,396","5,812","6,279","5,905","7,245","5,210","4,947","5,547","6,736","8,027","8,725","9,755"
Expenses+,"4,108","5,504","5,875","5,504","6,869","5,194","4,861","5,388","6,431","7,583","8,210","9,213"
Operating Profit,288,309,404,401,376,17,87,159,305,444,516,542
OPM %,7%,5%,6%,7%,5%,0%,2%,3%,5%,6%,6%,6%
Other Income+,147,101,89,106,187,235,173,88,15,18,122,380
Interest,41,3,2,2,2,8,12,8,5,3,5,0
Depreciation,2,2,3,3,3,3,2,2,2,2,4,9
Profit before tax,391,404,488,503,558,241,244,237,312,456,630,913
Tax %,29%,29%,28%,34%,31%,67%,17%,23%,26%,25%,24%,23%
Net Profit+,277,287,351,334,384,80,202,183,231,344,476,703
EPS in Rs,1.03,1.06,1.30,1.24,1.42,0.30,0.75,0.68,0.86,1.28,1.76,2.60
Dividend Payout %,24%,42%,42%,45%,30%,30%,42%,49%,42%,33%,38%,39%
