Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"13,390","13,770","14,449","17,654","27,863","26,324","33,346","49,512","51,680","50,009","49,143","54,023"
Expenses+,"9,643","11,329","11,539","13,680","21,846","20,537","20,277","34,431","42,143","39,764","40,181","45,555"
Operating Profit,"3,747","2,441","2,910","3,974","6,018","5,787","13,069","15,080","9,538","10,245","8,963","8,468"
OPM %,28%,18%,20%,23%,22%,22%,39%,30%,18%,20%,18%,16%
Other Income+,-350,23,1,-345,"-1,384",-9,480,-265,"-3,214",42,"-1,223","-1,173"
Interest,"2,251","2,646","2,324","2,391","2,896","2,611","2,187","1,415","1,286",921,620,773
Depreciation,"1,786","2,148","2,044","1,910","2,307","2,287","2,243","2,232","2,166","2,216","2,272","2,383"
Profit before tax,-639,"-2,330","-1,457",-672,-570,880,"9,119","11,168","2,872","7,151","4,847","4,140"
Tax %,-51%,-39%,-32%,-46%,-54%,30%,22%,26%,16%,26%,25%,26%
Net Profit+,-311,"-1,419",-986,-362,-263,618,"7,154","8,283","2,427","5,273","3,621","3,074"
EPS in Rs,-3.40,-15.50,-10.78,-3.74,-2.72,6.06,70.14,81.20,23.79,51.69,35.50,30.13
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,4%,8%,4%,6%,7%
