Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"9,752","11,344","12,626","10,081","11,356","11,026","11,056","11,772","11,259","14,666","16,968","19,513"
Expenses+,"6,375","7,357","8,134","7,992","8,504","9,116","9,012","11,560","10,295","11,216","11,574","11,709"
Operating Profit,"3,377","3,987","4,492","2,089","2,853","1,909","2,044",211,964,"3,451","5,394","7,804"
OPM %,35%,35%,36%,21%,25%,17%,18%,2%,9%,24%,32%,40%
Other Income+,177,187,82,128,-49,-286,129,215,210,115,176,719
Interest,5,24,29,33,35,53,41,73,98,56,84,121
Depreciation,337,306,366,390,426,519,503,514,548,725,648,707
Profit before tax,"3,212","3,844","4,179","1,794","2,342","1,052","1,630",-162,527,"2,785","4,837","7,694"
Tax %,25%,26%,25%,25%,34%,31%,23%,17%,19%,16%,18%,17%
Net Profit+,"2,397","2,831","3,141","1,345","1,539",728,"1,259",-189,425,"2,326","3,973","6,367"
EPS in Rs,53.34,62.83,69.56,29.74,34.01,16.06,27.74,-4.15,9.35,51.05,87.02,139.26
Dividend Payout %,14%,12%,11%,17%,15%,37%,23%,-96%,43%,16%,14%,13%
