Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"11,903","11,084","12,897","15,621","19,070","20,010","20,602","27,210","38,270","47,114","54,842","77,554"
Expenses+,"10,746","10,135","11,693","13,886","17,064","17,592","18,896","23,928","33,497","42,090","49,550","70,251"
Operating Profit,"1,158",949,"1,204","1,736","2,006","2,418","1,706","3,282","4,773","5,024","5,292","7,303"
OPM %,10%,9%,9%,11%,11%,12%,8%,12%,12%,11%,10%,9%
Other Income+,66,69,-40,-7,104,146,39,192,296,510,493,446
Interest,81,42,37,48,44,149,181,195,240,480,767,955
Depreciation,87,87,93,110,139,310,331,347,364,447,537,596
Profit before tax,"1,056",888,"1,033","1,571","1,927","2,105","1,233","2,932","4,465","4,607","4,481","6,198"
Tax %,22%,21%,26%,26%,29%,28%,29%,26%,25%,23%,26%,25%
Net Profit+,823,698,762,"1,163","1,374","1,517",877,"2,180","3,333","3,544","3,335","4,630"
EPS in Rs,9.27,7.86,8.58,13.10,15.48,17.09,9.88,24.56,37.54,39.92,37.57,52.15
Dividend Payout %,25%,28%,30%,29%,32%,23%,41%,31%,27%,28%,29%,29%
