Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,346","1,484","1,595","1,646","1,999","2,231","2,412","3,313","4,230","4,849","5,557","9,572"
Expenses+,"1,115","1,220","1,315","1,396","1,698","1,929","2,131","2,887","3,775","4,339","5,175","8,564"
Operating Profit,231,265,280,250,301,302,281,427,456,510,382,"1,009"
OPM %,17%,18%,18%,15%,15%,14%,12%,13%,11%,11%,7%,11%
Other Income+,8,45,11,115,153,284,104,400,534,760,484,774
Interest,5,7,4,7,5,8,6,52,59,72,54,70
Depreciation,67,82,91,82,78,90,96,84,109,128,151,311
Profit before tax,168,221,197,276,370,487,283,692,822,"1,069",662,"1,402"
Tax %,12%,13%,16%,18%,19%,13%,15%,7%,11%,7%,20%,1%
Net Profit+,148,192,165,226,299,422,240,644,732,992,528,"1,393"
EPS in Rs,4.84,6.27,5.37,7.36,9.68,13.52,7.92,21.17,23.98,32.09,15.77,41.48
Dividend Payout %,39%,32%,47%,41%,0%,46%,33%,49%,53%,47%,96%,10%
