Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,885","2,987","3,064","3,217","3,430","5,690","7,154","7,932","9,046","10,709","12,802","14,700"
Expenses+,"2,567","2,688","2,701","2,859","2,991","4,886","6,236","6,821","7,658","9,113","11,393","12,866"
Operating Profit,317,299,363,358,438,804,919,"1,111","1,388","1,596","1,409","1,834"
OPM %,11%,10%,12%,11%,13%,14%,13%,14%,15%,15%,11%,12%
Other Income+,86,109,96,406,183,66,72,212,293,27,512,533
Interest,34,68,49,14,13,26,28,30,33,74,203,91
Depreciation,20,23,24,27,32,115,126,142,160,214,216,229
Profit before tax,349,317,386,723,576,729,836,"1,151","1,488","1,335","1,503","2,047"
Tax %,17%,29%,29%,26%,29%,28%,26%,23%,25%,28%,17%,20%
Net Profit+,289,226,276,534,411,524,620,886,"1,120",955,"1,255","1,635"
EPS in Rs,4.50,3.46,4.21,8.15,6.27,5.47,6.47,9.26,11.61,9.65,12.68,16.52
Dividend Payout %,48%,63%,54%,30%,38%,48%,60%,63%,72%,77%,65%,61%
