Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"206,626","177,701","187,091","219,333","275,215","268,766","232,997","349,683","440,403","433,525","433,728","441,448"
Expenses+,"201,531","169,706","176,440","208,580","263,812","263,643","217,071","339,507","447,925","408,686","417,122","410,958"
Operating Profit,"5,096","7,995","10,650","10,753","11,402","5,123","15,925","10,176","-7,522","24,839","16,606","30,491"
OPM %,2%,4%,6%,5%,4%,2%,7%,3%,-2%,6%,4%,7%
Other Income+,"1,744","1,089","1,442","1,769","1,675",835,"2,789","2,970","2,069","2,382","2,416","2,691"
Interest,707,654,536,567,726,"1,082",915,973,"2,132","2,516","3,311","3,149"
Depreciation,"1,979","2,653","2,535","2,753","3,013","3,304","3,553","3,969","4,330","5,552","6,090","7,125"
Profit before tax,"4,154","5,777","9,021","9,202","9,339","1,573","14,247","8,204","-11,915","19,153","9,621","22,907"
Tax %,34%,36%,31%,31%,35%,-68%,25%,22%,-25%,23%,23%,25%
Net Profit+,"2,733","3,726","6,209","6,357","6,029","2,637","10,664","6,383","-8,974","14,694","7,365","17,175"
EPS in Rs,11.96,16.30,27.16,27.81,26.38,11.54,48.83,30.00,-42.18,69.06,34.61,80.72
Dividend Payout %,30%,31%,49%,41%,40%,56%,31%,31%,0%,30%,30%,30%
