Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"10,132","12,118","10,768","11,390","12,374","12,659","11,303","15,381","14,345","16,574","19,045","18,980"
Expenses+,"8,162","10,064","9,155","9,194","9,869","9,952","8,235","11,670","10,992","12,090","13,266","14,545"
Operating Profit,"1,969","2,053","1,613","2,196","2,505","2,707","3,067","3,711","3,353","4,484","5,778","4,435"
OPM %,19%,17%,15%,19%,20%,21%,27%,24%,23%,27%,30%,23%
Other Income+,140,280,113,257,575,893,654,742,640,"1,434","1,279",878
Interest,136,147,39,12,17,36,45,27,22,20,15,19
Depreciation,433,443,500,530,570,600,469,547,596,588,574,658
Profit before tax,"1,540","1,744","1,187","1,911","2,493","2,964","3,208","3,880","3,375","5,310","6,469","4,636"
Tax %,23%,16%,18%,23%,24%,22%,23%,24%,26%,23%,20%,24%
Net Profit+,"1,181","1,462",975,"1,469","1,888","2,318","2,468","2,958","2,513","4,077","5,158","3,515"
EPS in Rs,14.71,18.20,12.12,18.24,23.44,28.75,30.61,36.66,31.14,50.50,63.86,43.52
Dividend Payout %,14%,11%,16%,16%,13%,14%,16%,14%,27%,26%,25%,30%
