Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,478","3,160","4,051","4,616"
Expenses+,550,627,707,827
Operating Profit,"1,929","2,533","3,345","3,789"
OPM %,78%,80%,83%,82%
Other Income+,4,4,9,6
Interest,10,9,9,13
Depreciation,53,52,59,73
Profit before tax,"1,870","2,475","3,286","3,709"
Tax %,24%,22%,25%,23%
Net Profit+,"1,423","1,943","2,460","2,858"
EPS in Rs,33.35,45.50,57.53,66.71
Dividend Payout %,72%,77%,78%,81%
