Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"10,042","11,105","12,135","15,175","18,210","16,423","16,751","20,791","26,378","31,776","36,251","47,270"
Expenses+,"9,436","10,291","11,276","14,000","16,775","15,077","15,320","18,829","23,703","28,262","31,797","41,191"
Operating Profit,607,813,859,"1,175","1,435","1,346","1,430","1,962","2,675","3,514","4,454","6,079"
OPM %,6%,7%,7%,8%,8%,8%,9%,9%,10%,11%,12%,13%
Other Income+,30,100,171,99,6,-0,31,-11,101,149,58,-71
Interest,27,49,44,57,81,102,142,126,141,182,139,204
Depreciation,153,236,288,339,399,489,494,611,631,700,745,901
Profit before tax,456,629,699,879,961,754,826,"1,213","2,003","2,781","3,629","4,904"
Tax %,24%,22%,20%,25%,30%,21%,26%,26%,26%,25%,25%,26%
Net Profit+,348,489,558,663,670,592,612,894,"1,491","2,083","2,711","3,615"
EPS in Rs,7.32,10.30,11.75,13.95,14.11,12.47,12.88,18.81,31.38,43.84,57.05,76.10
Dividend Payout %,26%,24%,21%,24%,25%,28%,27%,20%,16%,18%,18%,0%
