Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,795","5,865","7,443","9,516","8,115","4,300","8,353","9,225","9,460","13,307","14,542"
Expenses+,"5,137","4,741","6,071","7,105","6,205","3,310","6,388","7,237","7,134","9,570","10,675"
Operating Profit,"1,658","1,124","1,372","2,411","1,909",990,"1,966","1,988","2,326","3,736","3,867"
OPM %,24%,19%,18%,25%,24%,23%,24%,22%,25%,28%,27%
Other Income+,26,-15,551,18,-225,-314,91,-922,55,428,877
Interest,201,169,697,414,786,823,402,529,545,664,751
Depreciation,376,419,385,151,243,57,56,124,251,266,320
Profit before tax,"1,107",521,841,"1,864",655,-204,"1,599",413,"1,584","3,234","3,673"
Tax %,38%,38%,38%,35%,34%,-9%,29%,-11%,27%,25%,21%
Net Profit+,688,321,521,"1,212",433,-186,"1,134",456,"1,164","2,418","2,920"
EPS in Rs,15.92,7.09,6.58,15.31,5.47,-2.35,11.77,4.73,11.70,24.24,29.23
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,21%,19%,18%,15%
