Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"72,634","70,844","78,273","83,453","90,307","97,700","99,207","121,175","163,770","162,009","170,037","165,494"
Expenses+,"56,711","52,848","56,918","58,596","71,260","60,918","66,614","82,221","120,769","118,085","121,071","123,593"
Operating Profit,"15,923","17,996","21,356","24,856","19,048","36,782","32,593","38,953","43,001","43,924","48,966","41,901"
OPM %,22%,25%,27%,30%,21%,38%,33%,32%,26%,27%,29%,25%
Other Income+,"2,377","1,118",316,"1,839","1,755","-2,065",973,"2,110","3,877","5,202","4,209","4,231"
Interest,"2,842","3,346","3,699","3,996","4,717","6,799","7,459","8,265","10,265","10,503","11,171","10,442"
Depreciation,"4,912","5,172","5,921","7,099","7,254","8,623","10,412","12,058","13,137","13,943","15,056","16,031"
Profit before tax,"10,547","10,596","12,052","15,600","8,831","19,295","15,695","20,740","23,476","24,679","26,949","19,659"
Tax %,2%,-2%,22%,34%,-33%,48%,12%,21%,27%,27%,27%,-18%
Net Profit+,"10,291","10,770","9,385","10,343","11,750","10,113","13,770","16,282","17,197","18,079","19,649","23,162"
EPS in Rs,10.40,10.88,9.49,10.45,11.88,10.22,14.20,16.79,17.73,18.64,20.26,23.89
Dividend Payout %,20%,26%,42%,41%,51%,31%,43%,42%,41%,42%,41%,38%
