Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,026","2,924","3,019","3,275","3,434","4,347","5,561","7,390","9,425","9,093","9,271","9,467"
Expenses+,"2,418","2,397","2,345","2,416","2,535","3,067","4,002","5,684","7,412","6,931","7,175","7,500"
Operating Profit,609,526,673,859,899,"1,281","1,559","1,705","2,013","2,162","2,096","1,967"
OPM %,20%,18%,22%,26%,26%,29%,28%,23%,21%,24%,23%,21%
Other Income+,162,116,182,109,119,323,89,123,118,135,178,151
Interest,6,6,2,5,7,63,52,59,74,66,74,60
Depreciation,33,29,26,32,38,153,151,149,176,193,189,182
Profit before tax,732,607,826,930,973,"1,388","1,446","1,620","1,882","2,038","2,010","1,876"
Tax %,24%,25%,24%,20%,21%,13%,23%,24%,25%,29%,24%,25%
Net Profit+,553,457,625,740,769,"1,205","1,110","1,235","1,414","1,446","1,532","1,402"
EPS in Rs,26.32,21.75,29.70,38.28,41.32,64.60,59.36,65.77,75.05,76.52,80.63,73.49
Dividend Payout %,61%,92%,57%,52%,65%,54%,110%,70%,67%,72%,71%,84%
