Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,524","3,901","4,357","5,008","5,356","3,169","2,526","5,159","6,580","7,610","9,329","11,331"
Expenses+,"4,478","3,676","4,067","4,646","5,079","3,066","2,411","4,562","5,643","6,534","8,055","9,690"
Operating Profit,46,225,290,362,277,103,114,597,937,"1,076","1,274","1,641"
OPM %,1%,6%,7%,7%,5%,3%,5%,12%,14%,14%,14%,14%
Other Income+,695,"-1,140",101,138,"-1,242","-1,312",957,285,135,293,161,218
Interest,43,40,164,302,337,248,166,66,15,3,6,7
Depreciation,113,99,92,102,104,91,81,74,75,78,86,94
Profit before tax,586,"-1,053",135,95,"-1,406","-1,548",824,742,983,"1,289","1,342","1,757"
Tax %,-1%,4%,8%,80%,1%,-4%,16%,15%,20%,22%,27%,25%
Net Profit+,589,"-1,099",124,19,"-1,417","-1,480",689,627,785,"1,004",974,"1,317"
EPS in Rs,9.40,-17.53,1.99,0.31,-22.62,-23.61,5.15,4.35,5.14,6.58,6.37,8.36
Dividend Payout %,13%,0%,0%,0%,0%,0%,0%,0%,29%,20%,20%,16%
