Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,302","5,863","4,041","4,212","5,118","4,314","2,898","3,643","5,739","5,129","3,939","3,029"
Expenses+,"4,199","3,697","3,136","3,505","4,312","3,417","2,084","2,597","4,532","3,411","2,733","2,015"
Operating Profit,"2,103","2,165",905,707,806,897,814,"1,046","1,207","1,718","1,207","1,015"
OPM %,33%,37%,22%,17%,16%,21%,28%,29%,21%,34%,31%,33%
Other Income+,259,395,328,-166,361,218,62,227,400,210,681,921
Interest,586,644,533,476,412,322,210,127,260,478,365,886
Depreciation,421,354,364,364,365,369,358,328,317,270,243,225
Profit before tax,"1,356","1,563",337,-299,390,424,308,818,"1,030","1,181","1,279",824
Tax %,27%,24%,42%,49%,36%,-17%,40%,30%,31%,20%,5%,-4%
Net Profit+,995,"1,182",195,-444,251,498,186,570,711,950,"1,221",859
EPS in Rs,6.06,7.21,1.19,-2.71,1.53,3.03,1.13,3.47,4.32,5.78,6.99,4.89
Dividend Payout %,33%,28%,42%,0%,65%,33%,176%,58%,46%,35%,29%,41%
