Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,50,105,79,50,61,123,103,134,110,153,208
Expenses+,161,106,122,89,89,144,513,398,314,408,378
Operating Profit,-111,-1,-43,-39,-28,-20,-409,-264,-204,-254,-170
OPM %,-222%,-1%,-54%,-79%,-46%,-16%,-397%,-197%,-185%,-166%,-82%
Other Income+,34,53,25,34,58,54,114,195,252,273,223
Interest,0,0,0,0,1,2,1,1,1,0,3
Depreciation,2,1,3,1,9,4,4,4,3,3,4
Profit before tax,-80,50,-21,-6,19,27,-300,-74,44,15,47
Tax %,0%,-51%,120%,148%,49%,30%,-0%,0%,18%,10%,11%
Net Profit+,-79,76,-47,-16,10,19,-300,-74,36,13,41
EPS in Rs,"-22,080.56","21,063.89","-12,944.60","-4,160.53","2,563.16",833.04,-6.67,-1.65,0.80,0.29,0.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
