Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"7,419","7,748","8,677","9,753","11,419","13,211","13,758","13,661","16,804","22,188","26,365","27,695"
Interest,"5,039","5,240","5,625","6,170","7,243","8,562","8,224","7,699","9,571","13,895","16,897","17,038"
Expenses+,"1,663","2,491","2,706","3,275","3,500","4,428","5,251","5,392","5,353","6,179","7,634","9,728"
Financing Profit,717,17,347,308,677,221,283,570,"1,879","2,114","1,834",929
Financing Margin %,10%,0%,4%,3%,6%,2%,2%,4%,11%,10%,7%,3%
Other Income+,878,808,"1,082","1,159","1,351","1,931","1,959","2,089","2,330","3,079","3,801","4,440"
Depreciation,75,105,122,123,120,119,104,123,165,215,267,0
Profit before tax,"1,521",720,"1,306","1,344","1,907","2,033","2,137","2,536","4,044","4,978","5,368","5,370"
Tax %,34%,34%,36%,35%,35%,24%,26%,25%,26%,25%,25%,23%
Net Profit+,"1,006",476,831,879,"1,244","1,543","1,590","1,890","3,011","3,721","4,052","4,117"
EPS in Rs,5.87,2.77,4.82,4.46,6.27,7.74,7.97,8.99,14.23,15.28,16.50,16.71
Dividend Payout %,19%,25%,19%,22%,22%,0%,9%,20%,7%,8%,7%,7%
