Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"9,748","9,765","9,510","10,656","13,735","12,129","8,605","14,530","21,372","20,008","20,527","21,346"
Expenses+,"6,218","6,177","6,406","6,745","8,251","9,538","7,353","9,161","11,693","10,315","11,761","15,286"
Operating Profit,"3,530","3,588","3,105","3,911","5,484","2,591","1,252","5,369","9,679","9,693","8,766","6,060"
OPM %,36%,37%,33%,37%,40%,21%,15%,37%,45%,48%,43%,28%
Other Income+,"1,272","1,179",529,"1,484",408,"1,520","1,508","1,897","1,497",-413,"1,870","2,693"
Interest,341,384,397,416,479,499,499,783,724,760,866,966
Depreciation,733,942,"1,091","1,270","1,496","1,492","1,538","1,497","1,595","1,775","1,919","2,367"
Profit before tax,"3,729","3,441","2,146","3,710","3,916","2,120",723,"4,986","8,857","6,745","7,851","5,420"
Tax %,33%,33%,28%,28%,34%,-22%,-141%,22%,23%,18%,22%,18%
Net Profit+,"2,510","2,302","1,549","2,668","2,590","2,584","1,742","3,887","6,810","5,552","6,114","4,455"
EPS in Rs,13.92,12.76,8.59,15.67,15.92,15.89,10.71,23.90,41.87,34.13,37.59,27.39
Dividend Payout %,48%,42%,74%,43%,43%,44%,31%,40%,32%,28%,31%,42%
