Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"27,213","18,138","30,642","32,246","38,360","29,351","71,447","65,402","70,081","101,316","96,687","98,968"
Expenses+,"26,339","17,473","29,665","31,170","37,517","28,211","70,166","64,731","69,982","100,630","95,600","97,715"
Operating Profit,874,665,977,"1,076",843,"1,140","1,282",671,100,686,"1,087","1,253"
OPM %,3%,4%,3%,3%,2%,4%,2%,1%,0%,1%,1%,1%
Other Income+,79,398,139,281,506,367,442,746,"1,407",363,293,796
Interest,-14,8,9,11,14,0,45,0,0,0,0,0
Depreciation,43,45,41,44,45,46,51,52,75,78,102,0
Profit before tax,924,"1,010","1,066","1,302","1,290","1,461","1,628","1,365","1,432",971,"1,278","2,049"
Tax %,15%,19%,16%,15%,1%,11%,16%,12%,5%,-62%,-41%,7%
Net Profit+,786,818,892,"1,109","1,277","1,295","1,360","1,208","1,360","1,569","1,802","1,910"
EPS in Rs,3.94,4.10,4.46,5.51,6.33,6.42,6.73,5.72,6.33,7.29,8.37,8.85
Dividend Payout %,18%,22%,25%,25%,26%,0%,30%,30%,30%,27%,25%,24%
