Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,314,356,376,397,440,444,249,284,477,466,486,544
Expenses+,110,139,122,145,172,185,116,119,155,152,186,186
Operating Profit,203,217,254,252,269,259,134,164,321,313,300,358
OPM %,65%,61%,68%,64%,61%,58%,54%,58%,67%,67%,62%,66%
Other Income+,12,93,20,53,63,41,288,323,111,107,187,106
Interest,71,69,81,75,78,76,62,64,66,65,73,66
Depreciation,31,29,30,40,44,46,42,29,31,35,45,70
Profit before tax,114,211,163,190,209,178,316,394,336,321,369,327
Tax %,46%,29%,18%,19%,17%,17%,8%,6%,14%,13%,9%,17%
Net Profit+,62,150,134,155,173,148,292,370,290,280,337,271
EPS in Rs,2.13,4.89,4.36,5.05,5.65,4.81,8.50,10.36,8.13,7.84,9.43,7.57
Dividend Payout %,52%,22%,28%,26%,27%,0%,6%,12%,31%,32%,26%,33%
