Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"1,976","2,213","3,007","2,927","3,418","4,311","5,172","4,563","4,815","5,830","6,906","7,643"
Interest,872,884,"1,003",794,"1,018","1,391","1,720","1,392","1,498","1,828","2,376","3,028"
Expenses+,642,759,833,"1,043","1,123","1,127","1,048","1,288","1,460","1,617","1,961","2,356"
Financing Profit,461,570,"1,172","1,090","1,277","1,793","2,404","1,883","1,857","2,385","2,569","2,258"
Financing Margin %,23%,26%,39%,37%,37%,42%,46%,41%,39%,41%,37%,30%
Other Income+,5,2,1,27,9,41,21,24,12,25,28,11
Depreciation,54,53,58,61,68,154,156,157,163,188,201,230
Profit before tax,412,519,"1,115","1,055","1,218","1,680","2,270","1,750","1,706","2,222","2,396","2,039"
Tax %,34%,35%,35%,35%,35%,27%,25%,25%,26%,25%,26%,25%
Net Profit+,271,337,726,689,790,"1,230","1,698","1,305","1,266","1,658","1,783","1,525"
EPS in Rs,3.22,4.01,8.62,8.18,9.38,14.56,20.06,15.41,14.96,19.59,21.07,16.23
Dividend Payout %,42%,45%,17%,24%,23%,19%,10%,19%,20%,17%,19%,15%
