Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,0,0,103,125,164,151,148,135,132,130,202,361
Expenses+,0,0,86,113,126,128,133,114,118,113,179,286
Operating Profit,0,0,17,12,38,23,15,21,14,17,23,75
OPM %,,,16%,10%,23%,15%,10%,16%,11%,13%,11%,21%
Other Income+,0,0,65,91,87,143,41,184,200,115,189,119
Interest,0,0,21,5,2,4,11,4,3,4,1,17
Depreciation,0,0,4,4,4,9,11,6,6,5,6,25
Profit before tax,0,0,57,94,119,153,34,195,205,123,205,152
Tax %,,,30%,23%,15%,12%,26%,6%,5%,9%,7%,7%
Net Profit+,0,0,40,72,101,135,25,183,195,112,190,141
EPS in Rs,0.00,0.00,"8,000.00","14,400.00",5.23,7.00,1.34,9.77,10.40,5.97,10.13,7.52
Dividend Payout %,,,0%,"7,855%",39%,29%,98%,91%,85%,153%,90%,67%
