Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,074","2,410","2,546","2,980","3,531","3,886","3,269","4,331","5,096","5,342","6,105","6,856"
Expenses+,"1,810","2,137","2,296","2,532","2,920","3,002","2,493","3,219","3,926","4,232","4,910","5,483"
Operating Profit,264,274,250,448,611,884,775,"1,113","1,170","1,110","1,195","1,373"
OPM %,13%,11%,10%,15%,17%,23%,24%,26%,23%,21%,20%,20%
Other Income+,6,10,-1,21,36,17,62,25,-7,1,-2,-22
Interest,0,0,0,0,0,163,161,173,195,224,261,276
Depreciation,98,124,151,156,152,344,367,383,475,568,672,764
Profit before tax,172,159,98,313,494,394,309,582,492,318,260,311
Tax %,28%,33%,31%,34%,35%,30%,24%,25%,28%,27%,25%,27%
Net Profit+,123,107,67,206,323,275,234,438,356,234,194,227
EPS in Rs,1.88,1.62,1.02,3.13,4.89,4.17,3.54,6.63,5.40,3.54,2.94,3.44
Dividend Payout %,13%,15%,25%,16%,20%,29%,34%,18%,22%,34%,41%,35%
