Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,430","4,554","4,748","5,261","5,679","5,474","6,254","6,952","7,667","8,411","8,910","9,474"
Expenses+,"3,588","3,556","3,612","3,931","4,167","4,027","4,602","5,223","5,798","6,169","6,810","7,238"
Operating Profit,842,998,"1,136","1,330","1,513","1,448","1,653","1,729","1,869","2,243","2,100","2,236"
OPM %,19%,22%,24%,25%,27%,26%,26%,25%,24%,27%,24%,24%
Other Income+,65,50,64,74,94,91,49,127,112,-697,248,145
Interest,39,55,36,52,65,58,25,8,3,134,191,199
Depreciation,42,45,57,63,69,81,83,86,108,127,141,160
Profit before tax,827,948,"1,107","1,289","1,473","1,400","1,594","1,762","1,870","1,285","2,016","2,022"
Tax %,21%,24%,23%,22%,-19%,16%,23%,16%,19%,50%,33%,25%
Net Profit+,654,723,848,"1,000","1,755","1,180","1,224","1,479","1,514",647,"1,351","1,516"
EPS in Rs,6.41,7.07,8.30,9.78,17.17,11.54,11.97,14.46,14.80,6.33,13.20,14.81
Dividend Payout %,29%,27%,60%,68%,58%,69%,0%,0%,0%,237%,189%,135%
