Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,611,718,802,915,"1,098","1,273","1,128","1,562","2,159","2,381","2,654","3,052"
Expenses+,429,579,571,614,752,864,835,"1,092","1,366","1,413","1,569","1,804"
Operating Profit,182,139,231,302,346,408,293,470,792,968,"1,084","1,248"
OPM %,30%,19%,29%,33%,32%,32%,26%,30%,37%,41%,41%,41%
Other Income+,106,67,59,6,78,-36,116,"9,682",-120,242,370,"5,503"
Interest,3,3,4,4,5,12,11,11,12,29,31,21
Depreciation,17,21,24,22,20,41,44,40,45,68,80,89
Profit before tax,267,182,262,281,399,319,354,"10,101",616,"1,113","1,344","6,641"
Tax %,28%,31%,22%,35%,29%,36%,21%,12%,33%,25%,42%,17%
Net Profit+,194,125,204,182,282,206,278,"8,923",411,833,773,"5,536"
EPS in Rs,3.23,2.07,3.37,3.00,4.61,3.36,4.32,138.57,6.37,12.88,11.94,85.37
Dividend Payout %,19%,29%,27%,37%,26%,36%,37%,2%,60%,34%,50%,10%
