Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,376,311,349,314,"1,060","1,484","1,026","1,496","2,781","3,853","3,866","3,144"
Expenses+,346,315,331,316,999,"1,355",906,"1,327","2,516","3,401","3,427","2,775"
Operating Profit,30,-4,18,-2,62,129,119,168,264,452,439,369
OPM %,8%,-1%,5%,-1%,6%,9%,12%,11%,10%,12%,11%,12%
Other Income+,1,7,24,23,-93,-144,16,-30,-2,46,75,-24
Interest,6,5,4,9,39,65,55,57,81,73,73,70
Depreciation,9,12,12,13,16,18,16,18,22,27,30,50
Profit before tax,15,-14,26,-1,-87,-98,64,63,159,397,412,224
Tax %,34%,-35%,27%,-468%,-36%,-19%,22%,47%,35%,25%,26%,33%
Net Profit+,10,-9,19,3,-55,-80,50,33,103,297,303,151
EPS in Rs,0.98,-0.78,1.67,0.25,-4.79,-6.91,4.21,2.80,8.65,22.05,22.53,11.19
Dividend Payout %,16%,-103%,48%,119%,-6%,0%,0%,0%,6%,4%,4%,9%
