Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"3,383","3,270","3,535","4,227","5,584","7,567","7,267","6,986","7,082","7,829","10,345","13,150"
Interest,"1,775","1,907","1,986","2,295","3,071","4,848","4,765","4,533","4,507","4,961","6,747","8,931"
Expenses+,477,318,468,525,652,544,277,111,278,134,-46,"1,162"
Financing Profit,"1,131","1,045","1,081","1,407","1,861","2,176","2,225","2,343","2,297","2,734","3,644","3,057"
Financing Margin %,33%,32%,31%,33%,33%,29%,31%,34%,32%,35%,35%,23%
Other Income+,44,37,99,7,7,4,11,11,4,119,4,177
Depreciation,5,5,5,5,5,6,7,8,11,10,11,13
Profit before tax,"1,170","1,077","1,175","1,409","1,863","2,175","2,229","2,346","2,289","2,843","3,637","3,221"
Tax %,34%,27%,28%,28%,37%,21%,29%,27%,26%,26%,26%,-25%
Net Profit+,768,784,842,"1,010","1,180","1,708","1,579","1,717","1,702","2,117","2,709","4,034"
EPS in Rs,383.80,3.92,4.21,5.05,5.90,8.53,7.89,8.57,8.50,10.57,13.53,20.15
Dividend Payout %,13%,13%,13%,11%,14%,36%,28%,41%,45%,39%,31%,0%
