Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"238,087","188,405","202,211","236,421","297,275","284,383","232,553","346,644","473,125","447,908","440,132","455,076"
Expenses+,"229,772","177,259","191,345","224,480","285,311","277,702","215,393","327,618","462,157","403,856","414,659","413,898"
Operating Profit,"8,315","11,146","10,866","11,941","11,964","6,680","17,160","19,026","10,967","44,052","25,473","41,178"
OPM %,3%,6%,5%,5%,4%,2%,7%,5%,2%,10%,6%,9%
Other Income+,"2,200","1,655","2,564","2,831","2,984","1,959","10,764","4,272",813,720,"1,312",-596
Interest,583,565,496,833,"1,319","2,182","1,328","2,209","3,216","2,473","1,888","1,634"
Depreciation,"2,516","1,845","1,891","2,653","3,189","3,787","3,978","5,418","6,347","6,750","7,232","7,844"
Profit before tax,"7,416","10,391","11,043","11,286","10,440","2,671","22,618","15,672","2,217","35,548","17,664","31,104"
Tax %,31%,32%,27%,29%,32%,-0%,16%,27%,16%,25%,25%,25%
Net Profit+,"5,085","7,056","8,039","7,976","7,132","2,683","19,042","11,363","1,870","26,674","13,275","23,303"
EPS in Rs,11.72,16.26,18.53,18.38,16.44,6.18,43.89,26.19,4.31,61.48,30.60,53.71
Dividend Payout %,32%,29%,53%,52%,52%,121%,87%,30%,46%,34%,32%,0%
