Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,414,495,522,628,576,518,537,698,709,"1,258","2,883","4,470"
Expenses+,247,265,304,313,354,415,383,422,456,802,"1,257","1,630"
Operating Profit,167,229,218,315,221,103,154,277,254,455,"1,626","2,840"
OPM %,40%,46%,42%,50%,38%,20%,29%,40%,36%,36%,56%,64%
Other Income+,-25,-52,33,338,41,116,13,26,33,538,-61,383
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,52,49,48,39,44,44,51,41,49,75,90,135
Profit before tax,90,128,203,614,218,175,116,261,238,919,"1,475","3,087"
Tax %,16%,-4%,2%,8%,8%,1%,16%,25%,30%,18%,25%,24%
Net Profit+,76,133,199,564,201,174,97,195,167,753,"1,112","2,334"
EPS in Rs,0.81,1.37,4.11,11.65,4.31,4.28,2.40,4.81,4.11,18.55,27.39,57.31
Dividend Payout %,69%,61%,76%,34%,77%,44%,97%,94%,97%,27%,28%,17%
