Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,235","1,318","1,477","1,582","1,916","2,043","2,486","4,061","4,612","5,103","5,296","5,908"
Expenses+,"1,085","1,152","1,270","1,345","1,612","1,672","1,952","3,352","3,860","4,224","4,359","4,846"
Operating Profit,151,166,207,237,304,370,535,709,752,879,937,"1,061"
OPM %,12%,13%,14%,15%,16%,18%,22%,17%,16%,17%,18%,18%
Other Income+,2,1,8,8,9,8,8,31,20,33,44,40
Interest,23,28,14,17,28,34,8,10,33,21,31,52
Depreciation,33,35,42,47,67,90,96,116,137,156,192,226
Profit before tax,97,104,159,181,218,254,439,614,601,735,759,824
Tax %,29%,30%,33%,34%,35%,21%,26%,25%,25%,25%,25%,26%
Net Profit+,69,73,107,119,141,201,327,462,448,550,566,611
EPS in Rs,2.62,2.74,4.01,4.47,5.31,7.50,12.20,17.23,16.67,20.49,21.08,22.74
Dividend Payout %,6%,7%,6%,6%,6%,8%,12%,13%,21%,18%,18%,11%
